displacement,cumulative_buoyancy
14000,10405.5
14000,10492.9
14000,10579.7
14000,10665.8
14000,10751.2
14000,10835.8
14000,10919.8
14000,11003
14000,11085.3
14000,11166.7
14000,11247.2
14000,11326.9
14000,11405.7
14000,11483.6
14000,11560.6
14000,11636.6
14000,11711.6
14000,11785.5
14000,11858.3
14000,11930.1
14000,12000.8
14000,12070.4
14000,12139
14000,12206.3
14000,12272.3
14000,12337.1
14000,12400.7
14000,12463
14000,12524.1
14000,12584
14000,12642.5
14000,12699.6
14000,12755.4
14000,12809.9
14000,12863
14000,12914.7
14000,12965.1
14000,13014.1
14000,13061.7
14000,13107.9
14000,13152.6
14000,13195.9
14000,13237.8
14000,13278.3
14000,13317.3
14000,13355
14000,13391.3
14000,13426.2
14000,13459.7
14000,13491.9
14000,13522.6
14000,13552
14000,13580.1
14000,13606.8
14000,13632.3
14000,13656.6
14000,13679.8
14000,13701.9
14000,13722.9
14000,13742.9
14000,13759.3
14000,13771.2
14000,13782.3
14000,13795.9
14000,13811.4
14000,13826.2
14000,13840.3
14000,13853.8
14000,13866.7
14000,13879.1
14000,13891
14000,13904.3
14000,13916.8
14000,13928.8
14000,13940.8
14000,13952.4
14000,13963.5
14000,13974.1
14000,13982.1
14000,13989.1
14000,13994.7
14000,13998.7
14000,14000
14000,14000
14000,14000
14000,14000
14000,14000
14000,14000
14000,14000
14000,14000
