ID,Count.StartTime,Count.UnitTypeID,Count.Booked Weight,Count.VGM Weight,Corrected Weight,Variance
14433999,44970,SWAP45,26000,39,39000,-13000
14450633,44977,SWAP45,20000,26,26000,-6000
14401909,44958,SWAP45,24500,11,11000,13500
14416628,44964,SWAP45,10000,8,8000,2000
14375213,44946,SWAP45,15500,10,10000,5500
14385951,44951,SWAP45,34500,21,21000,13500
14362255,44942,SWAP45,29500,10,10000,19500
14348244,44936,SWAP45,29500,9,9000,20500
14348244,44936,SWAP45,29500,,29500,0
14332361,44929,SWAP45,15500,15,15000,500
14339582,44931,SWAP45,15500,8,8000,7500
14354646,44938,SWAP45,39500,16,16000,23500
14367365,44944,SWAP45,34500,28,28000,6500
14382346,44950,SWAP45,34500,27,27000,7500
14415425,44964,SWAP45,10000,8,8000,2000
14397999,44956,SWAP45,34500,27,27000,7500
14450634,44977,SWAP45,30000,18,18000,12000
14434000,44970,SWAP45,21000,15,15000,6000
14468922,44984,SWAP45,30000,21,21000,9000
14524294,45005,SWAP45,30000,,30000,0
14524294,45005,SWAP45,30000,10,10000,20000
14509244,44999,SWAP45,18500,20,20000,-1500
14493183,44993,SWAP45,4500,9,9000,-4500
14481580,44988,SWAP45,30000,38,38000,-8000
14493181,44993,SWAP45,23500,,23500,0
14493181,44993,SWAP45,23500,40,40000,-16500
14506117,44998,SWAP45,11000,9,9000,2000
14506117,44998,SWAP45,11000,,11000,0
14524295,45005,SWAP45,20000,18,18000,2000
14524295,45005,SWAP45,20000,,20000,0
14474653,44986,SWAP45,40000,8,8000,32000
14460590,44980,SWAP45,4500,9,9000,-4500
14457252,44979,SWAP45,40000,9,9000,31000
