displacement,cumulative_buoyancy
23060,188.5
23060,210.1
23060,234.1
23060,260.7
23060,289.9
23060,319.4
23060,351.9
23060,387.2
23060,425.3
23060,466.4
23060,510.3
23060,557.4
23060,607.5
23060,660.6
23060,716.9
23060,776.1
23060,838.2
23060,903.3
23060,971.2
23060,1042
23060,1115.6
23060,1191.2
23060,1268.8
23060,1348.3
23060,1429.8
23060,1513.3
23060,1598.7
23060,1686.1
23060,1775.5
23060,1866.9
23060,1960.2
23060,2055.5
23060,2152.8
23060,2252
23060,2353.2
23060,2456.4
23060,2560.7
23060,2665.7
23060,2771.4
23060,2877.8
23060,2984.8
23060,3092.5
23060,3201
23060,3310.1
23060,3419.9
23060,3530.3
23060,3641.5
23060,3753.3
23060,3865.8
23060,3979
23060,4092.9
23060,4207.5
23060,4322.7
23060,4438.7
23060,4555.3
23060,4672.6
23060,4790.5
23060,4909.2
23060,5028.6
23060,5148.6
23060,5269.3
23060,5390.7
23060,5512.8
23060,5635.5
23060,5759
23060,5883.1
23060,6007.9
23060,6132.9
23060,6258
23060,6383
23060,6508.2
23060,6633.3
23060,6758.5
23060,6883.7
23060,7008.9
23060,7134.2
23060,7259.5
23060,7384.8
23060,7510.1
23060,7635.5
23060,7760.9
23060,7886.3
23060,8011.8
23060,8137.3
23060,8262.8
23060,8388.4
23060,8513.9
23060,8639.5
23060,8765.2
23060,8890.8
23060,9016.5
23060,9142.3
23060,9268
23060,9393.8
23060,9519.6
23060,9645.4
23060,9771.3
23060,9897.2
23060,10023
23060,10148.7
23060,10274.3
23060,10399.8
23060,10525.2
23060,10650.4
23060,10775.6
23060,10900.7
23060,11025.6
23060,11150.5
23060,11275.2
23060,11399.9
23060,11524.4
23060,11648.8
23060,11773.1
23060,11897.3
23060,12021.4
23060,12145.4
23060,12269.3
23060,12393
23060,12516.7
23060,12640.2
23060,12763.7
23060,12887
23060,13010.3
23060,13133.4
23060,13256.4
23060,13379.3
23060,13502.1
23060,13624.8
23060,13747.4
23060,13869.4
23060,13990.9
23060,14111.9
23060,14232.2
23060,14352
23060,14471.1
23060,14589.7
23060,14707.8
23060,14825.2
23060,14942
23060,15058.3
23060,15174
23060,15289.1
23060,15403.7
23060,15517.6
23060,15631
23060,15743.8
23060,15856
23060,15967.6
23060,16078.6
23060,16189.1
23060,16299
23060,16408.3
23060,16517
23060,16625.1
23060,16732.7
23060,16839.7
23060,16946.1
23060,17051.9
23060,17157.1
23060,17261.8
23060,17365.5
23060,17468.3
23060,17570.2
23060,17671.1
23060,17771.1
23060,17870.1
23060,17968.2
23060,18065.4
23060,18161.6
23060,18256.9
23060,18351.2
23060,18444.6
23060,18537
23060,18628.5
23060,18719.1
23060,18808.7
23060,18897.4
23060,18985.1
23060,19071.9
23060,19157.8
23060,19242.7
23060,19326.6
23060,19409.7
23060,19491.7
23060,19572.9
23060,19653.1
23060,19732.3
23060,19810.7
23060,19888
23060,19964.5
23060,20040
23060,20114.4
23060,20187.9
23060,20260.4
23060,20331.9
23060,20402.4
23060,20471.9
23060,20540.3
23060,20607.8
23060,20674.3
23060,20739.8
23060,20804.2
23060,20867.7
23060,20930.2
23060,20991.6
23060,21052.1
23060,21111.6
23060,21170
23060,21227.5
23060,21283.9
23060,21339.4
23060,21393.8
23060,21447.3
23060,21499.7
23060,21551.2
23060,21601.6
23060,21651.1
